model,price,description
Nissan Sentra,"$9,850","Garantía: Como es visto no hay garantía
Financiamiento: no
Precio negociable: si
Color : AZUL
¡VEHÍCULO CON PLACAS LISTAS!

NISSAN SENTRA SV 2018 $9,850.00.

Para mayor información puede comunicarse al por medio de llamada o WhatsApp.

Enlace pagina web:



CARACTERÍSTICAS:

- Arranca y rueda.
- 60,323 KILOMETROS actuales.
- Bolsas buenas.
- Llave de aproximación.
- Sunroof.
- Halógenos.
- Pantalla touch.
- Cámara de retroceso.
- Transmisión automática.
- Motor 1.8 L de 4 CIL.
- Rines Especiales.
- Paquete electrico.
- Mandos al timón.
- Conexion bluetooth.
- Full extras.

PRECIO: $9, FUERA DE ADUANA.

PARA MAYOR INFORMACIÓN COMUNICARSE AL TELÉFONO O WHATSAPP: / .

#sedan #importaciondevehiculos #carros #ventadevehiculos #venta #importacion #ventacarros #Nissan #Sentra #sentrasv #nissansentrasv"
Kia Forte,"$9,000","Garantía: Como es visto no hay garantía
Financiamiento: no
Color : Azul
DESCRIPCIÓN
CALIFICACIÓN
SEGURIDAD
Vendo Kia Forte 2017
53 mil millas
Bolsas buenas todas
Cero códigos
Traspaso directo
AC funcionando al 100
Pintura y tapicería buena
Mandos al timón
Hand free y Bluetooth
Suspensión y dirección buena
Transmisión automática
A toda prueba mecánica"
Honda City,"$8,000
(Rebajado 4%)","Financiamiento: no
Precio negociable: si
Color : Gris oscuro perla bicolor
honda city LX"
Toyota Corolla,"$10,800","Financiamiento: no
Precio negociable: si
DESCRIPCIÓN
CALIFICACIÓN
SEGURIDAD
Solo gente seria,
MOTOR 1.8 CON SISTEMA ECO, MOTOR Y CAJA 10/10

10/10 TAPICERIA IMPECABLE

PANTALLA,BLUETOOH,AUXILIAR,USB

MILLAS REALES MANTENIMIENTO AL DIA

BOLSAS BUENAS

CAMARA DE RETROCESO

POLARIZADO

AIRE FUNCIONANDO AL 100"
Daihatsu Rocky,"$5,000","Color : Rojo y Negro
Señor Guzmán contacto"
Mazda 3,"$5,800
(Rebajado 2%)","Precio negociable: si
Vendo mazda 3 año 2011 Mantenimiento al dia Aire helado al 100% Rines especiales Económico No gasta agua Cero fuga de aceite motor y caja nítida Poco negociable Muestro en gasolinera Texaco la unión A toda prueba Mi WhatsApp:"
Chevrolet Spark,"$7,350","Garantía: Como es visto no hay garantía
Financiamiento: no
Precio negociable: si
Color : AZUL
¡VEHÍCULO EN CAMINO!

CHEVROLET SPARK LS 2020 $7,350.00 (02)

Para mayor información puede comunicarse al por medio de llamada o WhatsApp.

Link pagina web:




CARACTERÍSTICAS:

- Arranca y rueda.
- 83,903 Millas actuales.
- Bolsas frontales buenas.
- Llave presente.
- Vidrios manuales.
- Transmisión automatica.
- Motor 1.4 L de 4 CIL.
- Pantalla.
- Halógenos.

PRECIO: $7,350.00 FUERA DE ADUANA

PARA MAYOR INFORMACIÓN COMUNICARSE AL TELÉFONO O WHATSAPP: / .

#sedan #importaciondevehiculos #carros #ventadevehiculos #venta #importacion #ventacarros #Chevrolet #chevrolet #chevroletspark #chevroletspark #spark"
Honda Civic,"$15,000","Financiamiento: no
Precio negociable: si
Color : Rojo
Honda Civic Sport 2019"
Mercedes Benz 230,"$8,500","Color : Plata Iridio Metalizado
De agencia, para los más exigentes, con mucha comodidad y calidad.
En excelente estado sin intermediarios, bolsas buenas, carrocería en perfecto estado, ha tenido uso familiar. Venta directa sin intermediarios."
Mitsubishi Mirage,"$3,300","Garantía: Como es visto no hay garantía
Precio negociable: si
Color : ocre
Se vende Mitsubishi modelo Mirage año 2000

De uso diario
Transmisión automática
4 puertas
Aire acondicionado
Tapicera en buen estado
Estéreo Sony
Motor 1.6 super económico
Vidrios manuales
Contiene sistema de alarma antirrobo
Traspaso directo

Detalles estéticos reparables"
Toyota Yaris,"$12,300","Financiamiento: no
Precio negociable: si
Color : Gris claro
DESCRIPCIÓN
CALIFICACIÓN
SEGURIDAD
Toyota Yaris 2015 Agencia

Motor 1.3 CC
AUTOMÁTICO
Tapicería 10/10
Pintura 9/10
Rines especiales y Llantas Michelin 9/10
Vidrios y espejos eléctricos
Sistema ABS
Recorrido 104,000 KM
Bolsas buenas no chocado
CD player original con Bluetooth
Ningún check encendido
Aire Helando perfectamente
Mantenimiento en AGENCIA
Último mantenimiento Enero 2023 entregó comprobante
Nada de invertirle solo de subirse , segundos dueños
Traspaso sin compra-ventas

Precio : $12,300 poco negociables
Se muestra únicamente en Sonsonate con Cita previa
Más información"
