model,year,kilometers,engine,price,description
Nissan Sentra,2018,60323,Gasolina,9850,"Garantía: Como es visto no hay garantía
Financiamiento: no
Precio negociable: si
Color : AZUL
¡VEHÍCULO CON PLACAS LISTAS!

NISSAN SENTRA SV 2018 $9,850.00.

Para mayor información puede comunicarse al por medio de llamada o WhatsApp.

Enlace pagina web:



CARACTERÍSTICAS:

- Arranca y rueda.
- 60,323 KILOMETROS actuales.
- Bolsas buenas.
- Llave de aproximación.
- Sunroof.
- Halógenos.
- Pantalla touch.
- Cámara de retroceso.
- Transmisión automática.
- Motor 1.8 L de 4 CIL.
- Rines Especiales.
- Paquete electrico.
- Mandos al timón.
- Conexion bluetooth.
- Full extras.

PRECIO: $9, FUERA DE ADUANA.

PARA MAYOR INFORMACIÓN COMUNICARSE AL TELÉFONO O WHATSAPP: / .

#sedan #importaciondevehiculos #carros #ventadevehiculos #venta #importacion #ventacarros #Nissan #Sentra #sentrasv #nissansentrasv"
Kia Forte,2017,53000,Gasolina,9000,"Garantía: Como es visto no hay garantía
Financiamiento: no
Color : Azul
DESCRIPCIÓN
CALIFICACIÓN
SEGURIDAD
Vendo Kia Forte 2017
53 mil millas
Bolsas buenas todas
Cero códigos
Traspaso directo
AC funcionando al 100
Pintura y tapicería buena
Mandos al timón
Hand free y Bluetooth
Suspensión y dirección buena
Transmisión automática
A toda prueba mecánica"
Honda City,2013,209470,Gasolina,7900,"Financiamiento: no
Precio negociable: si
Color : Gris oscuro perla bicolor
honda city LX"
Kia Forte,2016,116672,Gasolina,6975,"Garantía: Como es visto no hay garantía
Financiamiento: no
Precio negociable: si
Color : ROJO
DESCRIPCIÓN
CALIFICACIÓN
SEGURIDAD
KIA FORTE LX 2016, MOTOR 1.8 MODO ECO, AUTOMÁTICO, VIDRIOS Y ESPEJOS ELÉCTRICOS, CONTROLES DE AUDIO AL VOLANTE, BLUETOOTH, PANTALLA, CÁMARA DE RETROCESO, RINES ESPECIALES, ARRANCA Y CAMINA..
$6,975 NEGOCIABLES!!
INGRESA A ADUANA RANSA TERCERA SEMANA DEL MES DE MARZO

PUEDES RESERVAR !!
MAYOR INFORMACIÓN O RESERVAS"
Honda Civic,2017,66000,Gasolina,13500,"Garantía: Garantía de fabrica restante.
Financiamiento: no
Precio negociable: no
Color : GRIS
DESCRIPCIÓN
ARTÍCULOS
CALIFICACIÓN
SEGURIDAD
HONDA CIVIC EX 2017 AUTOMATICO full extras, aire acondicionado, tapicería de tela nítida, SUNROOF DE FABRICA, bien enllantado con rines especiales originales, doble cámara de retroceso y pantalla touch de 10”, 66.000 MILLAS ORIGINALES, mandos al timon para audio y llamadas y bluetooth de fabrica, doble cola de pato de fabrica, motor suspensión dirección y caja nítidos, motor 1.5 de 4 cilindros turbo ecodreams, Elevador en los asientos, 3 MODOS DE MANEJO, excelente sonido con subwoofer, ENCENDIDO DE BOTON, alarma de fábrica, aire acondicionado digital, entradas USB y AUX, alfombras completas, paquete eléctrico, mantenimiento al dia, sistema de frenos ABS, SOLO EFECTIVO $13.500 FIJOS Puedes llamar o escribir al y haz tu cita"
Toyota Corolla,2016,95500,Gasolina,10800,"Financiamiento: no
Precio negociable: si
DESCRIPCIÓN
CALIFICACIÓN
SEGURIDAD
Solo gente seria,
MOTOR 1.8 CON SISTEMA ECO, MOTOR Y CAJA 10/10

10/10 TAPICERIA IMPECABLE

PANTALLA,BLUETOOH,AUXILIAR,USB

MILLAS REALES MANTENIMIENTO AL DIA

BOLSAS BUENAS

CAMARA DE RETROCESO

POLARIZADO

AIRE FUNCIONANDO AL 100"
Daihatsu Rocky,1992,150000,Diesel,5000,"Color : Rojo y Negro
Señor Guzmán contacto"
Mazda 3,2011,133000,Gasolina,5800,"Precio negociable: si
Vendo mazda 3 año 2011 Mantenimiento al dia Aire helado al 100% Rines especiales Económico No gasta agua Cero fuga de aceite motor y caja nítida Poco negociable Muestro en gasolinera Texaco la unión A toda prueba Mi WhatsApp:"
Chevrolet Spark,2020,83903,Gasolina,7350,"Garantía: Como es visto no hay garantía
Financiamiento: no
Precio negociable: si
Color : AZUL
¡VEHÍCULO EN CAMINO!

CHEVROLET SPARK LS 2020 $7,350.00 (02)

Para mayor información puede comunicarse al por medio de llamada o WhatsApp.

Link pagina web:




CARACTERÍSTICAS:

- Arranca y rueda.
- 83,903 Millas actuales.
- Bolsas frontales buenas.
- Llave presente.
- Vidrios manuales.
- Transmisión automatica.
- Motor 1.4 L de 4 CIL.
- Pantalla.
- Halógenos.

PRECIO: $7,350.00 FUERA DE ADUANA

PARA MAYOR INFORMACIÓN COMUNICARSE AL TELÉFONO O WHATSAPP: / .

#sedan #importaciondevehiculos #carros #ventadevehiculos #venta #importacion #ventacarros #Chevrolet #chevrolet #chevroletspark #chevroletspark #spark"
Honda Civic,2019,45000,Gasolina,15000,"Financiamiento: no
Precio negociable: si
Color : Rojo
Honda Civic Sport 2019"
Mercedes Benz 230,2007,148000,Gasolina,8500,"Color : Plata Iridio Metalizado
De agencia, para los más exigentes, con mucha comodidad y calidad.
En excelente estado sin intermediarios, bolsas buenas, carrocería en perfecto estado, ha tenido uso familiar. Venta directa sin intermediarios."
Mitsubishi Mirage,2000,262634,Gasolina,3300,"Garantía: Como es visto no hay garantía
Precio negociable: si
Color : ocre
Se vende Mitsubishi modelo Mirage año 2000

De uso diario
Transmisión automática
4 puertas
Aire acondicionado
Tapicera en buen estado
Estéreo Sony
Motor 1.6 super económico
Vidrios manuales
Contiene sistema de alarma antirrobo
Traspaso directo

Detalles estéticos reparables"
Toyota Yaris,2015,105000,Gasolina,12300,"Financiamiento: no
Precio negociable: si
Color : Gris claro
DESCRIPCIÓN
CALIFICACIÓN
SEGURIDAD
Toyota Yaris 2015 Agencia

Motor 1.3 CC
AUTOMÁTICO
Tapicería 10/10
Pintura 9/10
Rines especiales y Llantas Michelin 9/10
Vidrios y espejos eléctricos
Sistema ABS
Recorrido 104,000 KM
Bolsas buenas no chocado
CD player original con Bluetooth
Ningún check encendido
Aire Helando perfectamente
Mantenimiento en AGENCIA
Último mantenimiento Enero 2023 entregó comprobante
Nada de invertirle solo de subirse , segundos dueños
Traspaso sin compra-ventas

Precio : $12,300 poco negociables
Se muestra únicamente en Sonsonate con Cita previa
Más información"
Ford Focus,2007,200000,Gasolina,3600,"Garantía: Como es visto no hay garantía
Financiamiento: no
Color : Gris Plata
DESCRIPCIÓN
CALIFICACIÓN
SEGURIDAD
Ford Focus 2007 en excelente estado.
Sedan Automatico 4 puertas."
Dodge DART,2013,88000,Gasolina,6500,"Color : Rojo.
Interesados Illamarme  . Version FULL EXTRAS 2013. Vendo NO cambios. Muestro en San Miguel. Motor 1.4 de 4 cilindros TURBO. Economico y Potente . Economia en consumo de combustible. Ideal para paseos en familia . Estilo Sedan 4 puertas + Baul espacioso. Transmision Manual 6 velocidades + Retroceso. Aire Acondicionado Heladito. Pantalla Tactil . Sonido Alpine potente Premium . USB , AUX , CD ,  AV , SD. Doble salida de escape. Apoya cabezas en todos los asientos. Tablero con luces Neon regulables. Camara de Retroceso. Vidrios y espejos electricos . Mandos al Timon . Frenos ABS . Bateria LTH HI TECH nueva. Baul Espacioso con su llanta de repuesto, mica y quita tuercas. Vidrios Polarizados . Mantenimientos al dia . Aceite de caja nuevo . Aceite de motor nuevo . Bujias nuevas . Sin fugas ni liqueos . Llantas perfil ancho casi nuevas. Ya solo esta de subirse . Motor parejito y suave . Sin pilotos encendidos."
