model,year,kilometers,engine,price,description
Toyota Corolla,2018,71306,Gasolina,9950,"Garantía: Como es visto no hay garantía Financiamiento: no Precio negociable: si Color : ROJO ¡VEHÍCULO EN CAMINO! TOYOTA COROLLA LE 2018 PRECIO: $9,950.00 (01–2966). Para mayor información puede comunicarse al por medio de llamada o WhatsApp. Enlace pagina web: CARACTERÍSTICAS: - Arranca y rueda - Llave presente. - Bolsas buenas. - 71,306 millas actuales. - Mandos al timón. - Conexion bluetooth . - Paquete electrico. - Pantalla touch. - Cámara de retroceso. - Transmisión automática. - Motor 1.8 L de 4 cilindros. PRECIO: $9,950.00 FUERA DE ADUANA. PARA MAYOR INFORMACIÓN COMUNICARSE AL TELÉFONO O WHATSAPP: / . #sedan #importaciondevehiculos #carros #ventadevehiculos #venta #importacion #ventacarros #Toyota #toyota #toyotacorolla #toyotacorollaa #ToyotaCorollaLe #toyotacorollale #CorollaLE #corollale #corolla"
Toyota Corolla,2018,68000,Gasolina,11500,"Vendo Toyota Corolla 2018. Full extras. Automático. 68,000 millas. Cero código. En perfectas condiciones. Como nuevo Precio $11,500"
Nissan Versa,2017,86000,Gasolina,6200,"Precio negociable: si Color : Azul DESCRIPCIÓN CALIFICACIONES SEGURIDAD Vendo versa sedan 2017 con caja STANDARD ,a toda prueba motor 1.6 economico,,ideal para uber , puerto usb ,funcionando bien,aire acondicionado al 100% ,vidrios manuales ,86 mil millas originales ,ya tiene experticia y emision de gases , se da con placas ,28 años importando vehiculos CHIRIATTI MOTORS,"
Mitsubishi Mirage G4,2018,66000,Gasolina,7900,"Vendo Mitsubishi Mirage G4 2018 Full extras, con rines, automático No chocado. Cero código En perfectas condiciones Precio $7,900"
Mazda 3,2013,131000,Gasolina,6600,"Garantía: Como es visto no hay garantía Financiamiento: no Color : Gris Muy bien cuidado, vendo por motivo de viaje y que no se usa, pasa guardado, con sus llave original así cómo sus manuales de , más información al para más información, pregunte sin compromiso el precio es algo negociable"
Toyota Yaris,2009,194000,Gasolina,6500,Color : Rojo DESCRIPCIÓN CALIFICACIONES SEGURIDAD - Motor 1.5 - Automático - 4 Puertas - Cierre central - Vidrios eléctricos - Bien cuidado (siempre se la ha hecho el mantenimiento a tiempo) - Pintura y tapicería en buenas condiciones - Llantas delanteras nuevas (las traseras en excelente condición) - Prueba mecánica OK - Documentos en regla - Se muestra en San Miguel
Nissan Versa,2011,106000,Gasolina,5600,"Garantía: Como es visto no hay garantía Precio negociable: si Color : Gris DESCRIPCIÓN CALIFICACIONES SEGURIDAD Se vende Nissan Versa 2011 estándar, 4 puertas, motor 1.6, 5 velocidades y retroceso, con 106,000 millas de kilometraje, en buen estado a toda prueba, frenos y amortiguadores en excelente estado. Por un valor de $5,600 negociables Se muestra durante fin de semana Sábado de 1:00 pm a 4:00pm y domingo de 8:00 am a 4:00pm. En colonia la Arboleda, detrás de lubricarwash la Guara."
Kia Forte,2015,56890,Gasolina,7500,"Garantía: Como es visto no hay garantía Financiamiento: no Precio negociable: si Color : Gris DESCRIPCIÓN CALIFICACIONES SEGURIDAD Vendo Carro sedan Kia forte 2015 bien cuidado en excelentes condiciones, a toda prueba mecánica, sin pilotos encendidos."
Mazda 2,2013,1970009,Gasolina,7200,Color : Beige DESCRIPCIÓN CALIFICACIONES SEGURIDAD Mantenimiento en Grupo Q. Cambio de frenos reciente.
Mitsubishi Lancer,2011,117260,Gasolina,7100,Garantía: Como es visto no hay garantía Financiamiento: no Precio negociable: si Color : Negro Motor 2.0 Cola de pato Evo Bumper frontal Evo Lips laterales Evo Rines especiales STR Silvines estilo Vland Mofle HKS SOLO SE MUESTRA EN SAN SALVADOR
Mitsubishi Lancer,2011,117260,Gasolina,7100,Garantía: Como es visto no hay garantía Financiamiento: no Precio negociable: si Color : Negro Motor 2.0 Cola de pato Evo Bumper frontal Evo Lips laterales Evo Rines especiales STR Silvines estilo Vland Mofle HKS Llanta de respuesto SOLO SE MUESTRA EN SAN SALVADOR
Nissan Sentra,2017,47000,Gasolina,10000,Color : Negro DESCRIPCIÓN CALIFICACIONES SEGURIDAD Vendo 2017 nissan Sentra con 45 mil mías todo trabaja al porciento no tiene nada malo el caro esta en excelente condiciones yo pido 10000pero se puedo negociar el precio Gracias me Yamo Marcelino mi número de teléfono es
Hyundai Elantra,2016,85000,Gasolina,8500,Financiamiento: no Precio negociable: si Color : Rojo DESCRIPCIÓN CALIFICACIONES SEGURIDAD Vendo 2016 Hyundai Elantra con 85mil mías todo trabaja al porciento no tiene nada malo el caro esta en excelente condiciones yo pido 8500 se puedo negociar el precio Gracias me Yamo Marcelino mi número de teléfono es
Hyundai Elantra,2018,45000,Gasolina,10000,Garantía: Como es visto no hay garantía Financiamiento: no Color : Blanco Vendo 2018 Hyundai Elantra con 47 mil mías todo trabaja al porciento no tiene nada malo el caro esta en excelente condiciones yo quiero 10000pero se puedo negociar el precio Gracias me Yamo Marcelino mi número de teléfono es
Chevrolet Sonic,2018,135422,Gasolina,7300,"Color : Gris Carro en buenas condiciones, de uso diario. Motor y caja excelente, cuenta con varias extras tales como, auxiliar de aceleración en cuestas, luces automáticas, asiento del conductor eléctrico, caja automática secuencial de 6 velocidades y su A/C funcionando, bolsas buenas, excepto la del conductor. Mantenimientos recién hechos, tapicería limpia, llantas a un 80% suspensión, dirección y amortiguación nítidos. Conducción del vehículo muy suave y cómodo y cuando se requiere es muy rápido con su motor 1.8 super económico, no tiene códigos. Ingresado al país en el mes de julio 2023 con todos sus papeles en regla. Traspaso directo, puede verlo con su mecánico sin compromiso. El vehículo tiene 2 detalles que no afectan su funcionamiento, ruido en flecha y su bobina en frio jalonea, fuera de eso el carro no tiene detalles a considerar. También se acepta vehículo a cuenta de menor valor"
Toyota Corolla,1996,180,Gasolina,4000,Color : Rojo vino DESCRIPCIÓN CALIFICACIONES SEGURIDAD Más información contactarse al número
Hyundai Accent,2015,110000,Gasolina,7000,"Color : Blanco DESCRIPCIÓN CALIFICACIONES SEGURIDAD Hyundai Accent 2015 Versión sedan Automático Motor 1.6 109,000 millas A/A helando bien Cambio de aceite de motor al día Cambio de aceite de caja al día Cierre central, vidrios eléctricos. Llantas en buen estado Rines especiales Cola de pato Halógenos Detalles de carrocería y pintura*"
Mitsubishi Lancer,2015,110000,Gasolina,8000,"Color : azul Automatico, precio negociable Motor 2.0 con sistema eco Vidrios y espejos electricos Las 4 Llantas 50% vida util Aire acondicionado al 100 Suspension y direccion en buenas condiciones Interiores gris, vidrios polarizados Tapicería y asientos nitidos Radio, Cd, Aux, Usb. Luces altas y bajas en buenas condiciones"
Nissan Versa,2013,90520,Gasolina,5500,DESCRIPCIÓN CALIFICACIONES SEGURIDAD Suspensión en buen estado. Vidrios eléctricos. Aire acondicionado en excelente condición. Poco negociable.
Hyundai Accent,2016,99000,Gasolina,7690,"Garantía: Como es visto no hay garantía Financiamiento: no DESCRIPCIÓN CALIFICACIONES SEGURIDAD Bonito Accent 2016, color gris oscuro. Motor 1.6 Eco. Full extras."
Mitsubishi Mirage,2018,99000,Gasolina,7790,"Garantía: Como es visto no hay garantía Financiamiento: no Precio negociable: si Color : negro Bonito y elegante Mitsubishi Mirage G4, color negro, full extras. Rines de fabrica rin 15"
Mitsubishi Mirage G4,2017,66000,Gasolina,7700,"Color : Gris Se vende Mitsubishi Mirage G4 2017 Full extras. Con todas las bolsas de aire. Color gris. Motor 1.2 super económico. Automático, cero código. Millas 66,000 Precio $7,700 Tel."
Toyota Corolla,2002,193079,Gasolina,3500,Precio negociable: si DESCRIPCIÓN CALIFICACIONES SEGURIDAD A/C no funciona
Kia Forte,2017,44000,Gasolina,8500,Precio negociable: si Color : Blanco DESCRIPCIÓN CALIFICACIONES SEGURIDAD vendo kia forte 2017 transmision manual 6 adelante + reversa todas sus bolsas buenas con 44100 millas originales llantas super enteras placas recientes aire elando tapiceria limpia vehiculo no corrido en el país aceite nuevo dentro con golpe super leve mestro VIN vehículo solo de subir sin ningún problema a precio de ganga por el estado 8500 neg.
Nissan Versa,2016,100000,Gasolina,6500,Precio negociable: si DESCRIPCIÓN CALIFICACIONES SEGURIDAD Se vende bonito nissan versa 2016 En excelentes condiciones Tapicería nítida Motor y caja al 100 y a toda prueba Suspensión nítida Sistema de aire nuevo y helando al 100 Cuenta con pantalla Android de 10 pulgadas Cambio de aceite de la transmisión recién echo Y todos sus mantenimientos al día Precio negociable Pregunte sin compromiso.
Toyota Yaris,2008,134411,Gasolina,6300,Financiamiento: no Precio negociable: si Color : Rojo DESCRIPCIÓN CALIFICACIONES SEGURIDAD se vende toyota yaris 2008 vidrios eléctricos AC funcionando al 100% esta en perfecto estado. lo.muestro rn metrocentro lourdes
Honda Civic,2016,89000,Gasolina,2000,"Color : Azul DESCRIPCIÓN CALIFICACIONES SEGURIDAD Honda Civic 2016 – Deportivo Sedan 4 Puertas - Deportivo Motor 4 cil. 2.0 cc. A toda Prueba Sistema de Manejo, ECO Drive, Deportivo 88,741 Mil millas Originales Cámara de Retroceso y pantalla Pantalla DVD – marca Alpine Transmisión Automática – Secuencial Freno de mano Electrónico Mandos al Timón Color Azul Frenos ABS. Discos en las 4 llantas Full Extras, Vidrios y Espejos Eléctricos, Aire Acondicionado, etc. Kit Deportivo Original, Cola Mugen, Spoilers de techo Rines especiales y bien Enllantado Cuenta con 2 Llaves de Arranque. **Carro a Toda Prueba Física y mecánica** Solo Personas Conocedoras y Con Interés de Compra, Tratos serios; ya que su tiempo y el mío son muy valiosos. Precio: $ 10,900.00 neg. Inf. WhatsApp San Salvador"
Volkswagen Passat,2017,73225,Gasolina,11900,"Garantía: Como es visto no hay garantía Financiamiento: no Precio negociable: si Color : GRIS DESCRIPCIÓN CALIFICACIONES SEGURIDAD -Recién ingresado -Motor 1.8L turbo, automático -La mayoría de las bolsas buenas, rines especiales -Pantalla con cámara de retroceso -45,000 millas, paquete eléctrico Contáctanos: - Trans-Auto Nejapa"
Honda Civic,2018,46700,Gasolina,12500,"Precio negociable: si Color : BLANCO En excelentes condiciones, mantenimiento como de agencia, pintura y carrocería sana. Precio poco negociable"
BMW 328,2012,91500,Gasolina,9000,"Bmw 328i E92 LCI 2012, todos sus mantenimientos al día, 91,500 millas, sometible a cualquier prueba mecánica en talleres especializados, vehículo completamente funcional, comparto VIN si necesita, trato y traspaso directo más información al llamadas y whatsapp."
Nissan Versa,2017,10877,Gasolina,6700,Precio negociable: si Color : Gris DESCRIPCIÓN CALIFICACIONES SEGURIDAD * Transmision Automática. * Mantnimientos de aceite de motor al dia. * Mantenimiento de caja de transmisión (CVT) al día con su aceite ORIGINAL NS3. *Aire acondicionado helando heladito. * Las 04 llantas nuevas con copas. *Asientos de butaca Pintura y tapicería en buenas condiciones 9.9 de 10. *Alojenas stop y silvines al 100. * Ojo vidrios manuales. * Retrovisores laterales eléctricos. *Bolsas de aire sin funcionar. SE ENTREGA EXTRA * Llanta de repuesto. * Dona *02 pares de forros para los asientos A toda prueba mecánica en caso de estar interesados llamar o escribir al WhatsApp al número
Mazda 3,2010,127200,Gasolina,4800,"Precio negociable: si Color : negro Vendo mazda 3, año 2010 vehículo funcionando al 100% aire acondicionado al 100% caja automática secuencial documentos en regla Carro de uso diario, vendo por motivos de viaje. Con gusto se le brindará mayor información."
Kia Rio,2017,83000,Gasolina,8500,"Color : Blanco DESCRIPCIÓN CALIFICACIONES SEGURIDAD Vendo Kia Río, wa excelentes condiciones, aitomatico, caja secuencial, sistema eco, frenos abs, cd player de fabrica, llave con control, cierre central, comandos en el timon, precio negociable TRASPASO DIRECTO!"
Mitsubishi Galant,2003,160843,Gasolina,3500,"Garantía: Como es visto no hay garantía Financiamiento: no Precio negociable: si Color : Beige vendo mitsubishi galant 2003 automático bien cuidado motor 2.4 económico no gasta refrigerante ni gasta aceite varios extras power estering rines especiales bolsas de aire buenas CD player mofle vidrios eléctricos cierre central quema coco.. modo crucero polarizado aire acondicionado helando bien todos sus marcadores al 100 no calienta no tira humo cero check engine solo piloto de bolsas de aire encendido que no afecta en nada de ai todo bien luces buenas cricos buenos numeración de motor y vin todo en orden tarjeta al día y ami nombre vence hasta el otro año traspaso directo cero esquelas todo en óptimas condiciones puede traer su mecánico de confianza puede verlo sin compromiso rin 17 llantas 9 de 10 pintura 9 de 10 como se aprecia en las fotos tapicería 8 de 10 bien estable corre bonito carro fiel con sus mantenimientos al día lleva discos nuevos de frenos terminales nuevos batería nueva con garantía sensores y fajas todo cambiado para mejor seguridad... motivo de venta por motivos personales será un placer muestro en paseo Venecia unicentro soyapango o plaza mundo pido $3,500 negociable carro de uso familiar ojo sólo gente seria en aser negocios si no le párese el anuncio ignore"
Nissan Sentra,2015,80000,Gasolina,7500,"Garantía: Como es visto no hay garantía Financiamiento: no Precio negociable: no Color : Gris DESCRIPCIÓN CALIFICACIONES SEGURIDAD 0 ruidos 0 rayones 0 manchas de tapicería Llantas en buen estado Polarizado Copas de llantas nuevas Aire acondicionado Frenos en buen estado Llanta de repuesto y mica Pilotos de tablero sin problemas Luces funcionando al 100% Transmisión automática Vidrios eléctricos Cámaras frontal y trasera Sensores de retroceso Pantalla central Cambio de aceite de motor y caja recientes Bolsas de aire intactas Documentación del vehículo en orden Se muestra solamente en la zona metropolitana de San Salvador, no cambios por otro tipo de vehículo, interesados llamar al"
Nissan Sentra,2018,93000,Gasolina,8700,"Color : Gris Bonito Nissan Sentra SV 2018, sistema ECO, Rines Especiales, botón de encendido con llave de proximidad, puertas delanteras con botón de proximidad, AC helando al 100, tapicería nítida, pintura nítida."
Hyundai Accent,2016,14400,Gasolina,7700,Precio negociable: si Color : Azul DESCRIPCIÓN CALIFICACIONES SEGURIDAD
Honda Civic,2010,245710,Gasolina,6200,"DESCRIPCIÓN CALIFICACIONES SEGURIDAD Vendo Honda Civic 2010, excelentes condiciones, motor 1.8, A/C funcionando al 100%, cd y radio de fábrica, polarizado ultra cerámico, vidrios eléctricos, retrovisores eléctricos, automático,’con manuales del fabricante"
Honda Civic,2010,245231,Gasolina,6200,"Precio negociable: si Color : Gris DESCRIPCIÓN CALIFICACIONES SEGURIDAD Vendo Civic 2010, con A/C, vidrios polarizados ultra cerámico con protección UV, cierre central, vidrios eléctricos, espejos electrónicos, versión full extras, reproductor de radio y cd de fábrica, con manuales originales de fábrica."
