model,year,kilometers,price,description
Mitsubishi Lancer,2017,68000,8400,"Color : Azul Vendo Mitsubishi Lancer 2017 Full Extras. Color azul. Cámara de retroceso, automático. Con rines. En perfectas condiciones. Cero código. A toda prueba. Precio $8,400"
Mitsubishi Mirage G4,2018,60000,8400,"Color : Blanco Se vende Mitsubishi G4 2018. Automático A/C. Bolsas buenas, cero código. Color blanco. Motor 1.2 Super económico. Cámara de retroceso, paquete eléctrico En perfectas condiciones. Precio $8,400"
Hyundai Elantra,2018,77000,10500,"Precio negociable: si Color : AZUL 3 modos de manejo y sistema eco, bolsas buenas, pantalla con cámara de retroceso de fábrica, rines especiales, mandos al timón, tiene 77000 millas. A toda prueba! Traspaso directo! Muestro en Mejicanos $10,500 poco negociable, para más informacion llamar"
Hyundai Accent,2019,78000,9800,"Precio negociable: si Color : Negro Hyundai Accent Sedán 2019, excelentes condiciones, color negro."
Kia Forte,2018,69038,8950,Color : negro Vendo kia forte 2018 motor 2.0 con eco ya esta en aduana nejapa 69mil millas bolsas buenas golpe leve puede verlo sin compromiso se vende reparado o chocado se entrega con poliza. reparado $8950 y chocado $7600
Scion xB,2006,220012,4200,"Precio negociable: si Color : Ocre vendo scion xb 2006 precio negociable rines especiales, vidrios eléctricos, súper económico detalles via izquierdo quebrada a/c a recarga balero izquierdo delante a cambiar bomper delante poco dañado se da más información por WhatsApp se envía más fotos de los detalles que tienne por eso en precio poco negociable"
Nissan Sentra,2016,83000,8000,"Financiamiento: no Precio negociable: si Color : Rojo DESCRIPCIÓN CALIFICACIONES SEGURIDAD •Todas las bolsas buenas. •Estado de la pintura 9.5/10 (detallitos de carro usado). •Motor 1.8L 4 cilindros. •Suspensión en buen estado (ninguno reventado). •Llantas delanteras en buen estado y llantas traseras necesitara próximamente cambio. •Pastillas de freno 80% vida útil. •Mantenimiento al día. •Luces LED blancas y amarillas, alógenos. •Tapicería negra. •Millage: 83,000 aprox. •NINGÚN CHECK ENCENDIDO (Puede revisarlo en scanner) •Llanta de repuesto y accesorios •Tapicería 9.5/10. •Asegurado en Asesuisa (Comparto valor en mensaje) •Mandos al timón de pantalla en tablero y radio. •Aire helado al 100%. •3 modos de manejo, ECO, NORMAL Y SPORT. •Rines de aleación de 17 pulgadas. •Asientos con calefacción. •Esta como se muestra en las fotos. •Muestro en SS y Santa tecla Pregunten sin compromiso. Paso pendiente del celular. UNICAMENTE VENDO!!"
Hyundai Accent,2007,155000,4600,"Precio negociable: si Color : Gris rata DESCRIPCIÓN CALIFICACIONES SEGURIDAD Accent 2007 sedan , aire acondicionado, 4 puertas, motor y caja sin detalles . Detalles de pintura y motor con poliza 1 compra venta a mi nombre Precio poco negociable. , contactarse al al whatsapp o llamadas"
Hyundai Elantra,2015,150355,7975,"Color : ROJO DESCRIPCIÓN CALIFICACIONES SEGURIDAD Hyundai ELANTRA 2015, muy espacioso y confortable, amplio baúl, Automático y Secuencial, Motor 1.8, Sistema ECO drive, 150,355 Millas, con modos de manejo Normal, Confort y Sport. Vidrios eléctricos, asiento ajustable, sin códigos activo, pantalla táctil con Bluetooth, amplia cámara de retroceso, mandos al timón, rines originales de fábrica, aire acondicionado funcionando 100%, pintura en muy buenas condiciones, mantenimiento al día, Precio $7975 negociables. Se muestra en Antiguo Cuscatlán. Tel: ."
Hyundai Accent,2014,133600,7300,"Precio negociable: si Color : Cafe DESCRIPCIÓN CALIFICACIONES SEGURIDAD Vendo mi Hyundai accent GLS versión de lujo con sus mandos al timón estilo elegante en su interior, silvines led, rines especiales de fábrica. Cámara de retroceso Precio fijo $7300 130,000 millas Mantenimiento al día Puede escribir y hacemos negocio"
Kia Sephia,1999,189000,2500,"Precio negociable: si DESCRIPCIÓN CALIFICACIONES SEGURIDAD Transmisión Manual 4 Cilindros Motor, transmisión, dirección, luces, y chasis funcionando sin fallas. Detalles: tiene para a/c pero necesita cambio de tubería, y la radio no funciona. El resto es estético. Puede llevar a su mecánico de confianza al momento de verlo. Muestro en Gasolinera Uno de la 75 av Norte, San Salvador u otras Gasolineras en San Salvador entre Los Héroes y la Escalón."
Mitsubishi Lancer,2008,143000,5900,"Vehiculo de agencia, un solo dueño, solo 143 mil KILOMETROS, caja manual, paquete electrico, aire acondicionado, rines especiales de fabrica, sin fugas, llantas en buen estado, cero ruidos. Carro de uso familiar, nunca chocado, detalles leves de pintura, mantenimiento al dia. Se muestra cerca del Salvador del Mundo, en lugar seguro, con vigilancia."
Kia Forte,2018,113000,9100,"Garantía: Como es visto no hay garantía Financiamiento: no Precio negociable: si Color : Ocre Vendo Kia Forte 2018 a 9,300 negociable, nitido, motor y caja al 100 a toda prueba mecanica puede llamar a su mecanico para mayor seguridad, Esta recien polarizado Helando super bien Pintura pulida si necesita mayor informacion escribame al Whatsap:"
Hyundai Elantra,2016,180000,7800,Color : Gris DESCRIPCIÓN CALIFICACIONES SEGURIDAD QUE LAS AVENTURAS NUNCA FALTEN HYUNDAI ELANTRA 2016 - Motor 1.8 - 4 cil. súper economico - Automático - Paquete electrico - CD player con conexión a Aux. - Amplio baúl - Mandos en el timon - Cruise control - A/C 100% - Eco
Dodge DART,2013,89000,6200,"Precio negociable: si Color : Rojo Puede verlo sin compromiso sobre 13 Calle Oriente y 6ta. Ave. Sur Barrio Concepcion en San Miguel , entre lunes y viernes de 3pm a 6.30pm Interesados Illamarme  . Version FULL EXTRAS 2013. Vendo NO cambios. Muestro en San Miguel. Motor 1.4 de 4 cilindros TURBO. Economico y Potente . Economia en consumo de combustible. Ideal para paseos en familia . Estilo Sedan 4 puertas + Baul espacioso. Transmision Manual 6 velocidades + Retroceso. Aire Acondicionado Heladito. Pantalla Tactil . Sonido Alpine potente Premium . USB , AUX , CD ,  AV , SD. Doble salida de escape. Apoya cabezas en todos los asientos. Tablero con luces Neon regulables. Camara de Retroceso. Vidrios y espejos electricos . Mandos al Timon . Frenos ABS . Bateria LTH HI TECH nueva. Baul Espacioso con su llanta de repuesto, mica y quita tuercas. Vidrios Polarizados . Mantenimientos al dia . Aceite de caja nuevo . Aceite de motor nuevo . Bujias nuevas . Sin fugas ni liqueos . Llantas perfil ancho casi nuevas. Ya solo esta de subirse . Motor parejito y suave . Sin pilotos encendidos."
Toyota Yaris,2008,188000,6500,"DESCRIPCIÓN CALIFICACIONES SEGURIDAD vendo toyota yaris 2008 sedan automatico 4 puertas, vidrios electricos, espejos electricos. traspaso directo, tarjeta a mi nombre. detalle: compresor de aire acondicionado malo precio 6,500 negociable lo muestro en los alrededores de la UES"
Chevrolet Trax,2021,0,0,Motor 1.4L TURBO Pantalla con cámara de retroceso Automático con rines especiales Pocas millas Precio Negociable Contáctanos: - facebook.com/autoimportvelasco Trans-Auto Nejapa
Hyundai EON,2018,44400,8700,"Garantía: Como es visto no hay garantía Financiamiento: no Precio negociable: si Color : Gris Vendo Hyundai eón súper económico 2018 de agencia: - Motivo de la venta : Ya compré otro carro necesitamos conseguirle un nuevo dueño DETALLES: -V44,400 kM estándar -AC -de Agencia un solo dueño -Mantenimiento al día en agencia -Las 5 llantas nuevas batería Nueva -Alarma cierre central - Forros de asientos -Audio con USB -Polarizado de ley 35% -4 Puertas -Motor 800 económico -Tapicería 100 -Herramientas de fábrica (cambio de llantas)"
Hyundai Accent,2013,0,6300,"Garantía: Como es visto no hay garantía Financiamiento: no Precio negociable: no Color : rojo DESCRIPCIÓN CALIFICACIONES SEGURIDAD Vehículo usado en buenas condiciones Motor 1.6L GDi / 4 cilindros Automático secuencial Polarizado Alfombras originales Forros Hyundai de excelente calidad. Sistema ECO Frenos ABS Llantas delanteras 100% nuevas Llantas traseras al 60% Vidrios y espejos eléctricos Aire acondicionado funcionando 100% En su ultimo mantenimiento se cambiaron bujías y filtros. Precio $6,300.00 fijos WhatsApp personas serias, puede verlo en Res. San Remo (Col. escalón) hacer una cita previa. (No muestro en otro lugar)"
