model,year,kilometers,engine,price,description
Hyundai Elantra,2018,77000,Gasolina,10500,"Precio negociable: si Color : AZUL 3 modos de manejo y sistema eco, bolsas buenas, pantalla con cámara de retroceso de fábrica, rines especiales, mandos al timón, tiene 77000 millas. A toda prueba! Traspaso directo! Muestro en Mejicanos $10,500 poco negociable, para más informacion llamar"
Honda Civic,2017,88590,Gasolina,11500,"Color : Gris DESCRIPCIÓN ARTÍCULOS CALIFICACIONES SEGURIDAD Vendo mi 2017 honda civic Lx - motor 2.0 K20C2 Económico - 88,590 millas originales - 5 pasajeros - caja automática - 3 modos de manejo, sport, normal, eco. - approx 27.5 mpg modo normal - NO CAMBIOS, NO PAGOS. - mecánicamente está perfecto lo pueden verificar con su mecánico OBD2 lo que quiera. - llantas 70%, rin 17x9 Es2 - se vende con o sin el sistema de sonido Marca Xfire 3000d amp // Xfire 12D11 subwoofer de 1500 watt rms reales, instalado en Car Toys merliot. - batería Optima De Gel menos de 4 meses de vieja. Carro se usa a diario asi que las millas incrementan. - no quema aceite, no tiene fugas, Aire acondicionado al 100% - Luces LED alta y baja. - cuenta con camara de retroceso de agencia con su pantalla de agencia, audio con bluetooth, USB, ipod."
Hyundai Accent,2019,78000,Gasolina,9800,"Precio negociable: si Color : Negro Hyundai Accent Sedán 2019, excelentes condiciones, color negro."
Mitsubishi Mirage G4,2020,14445,Gasolina,7950,"Garantía: Como es visto no hay garantía Financiamiento: no Precio negociable: si Color : GRIS ¡VEHÍCULO EN CAMINO! MITSUBISHI MIRAGE G4 SE 2020 $7,950.00 (02-3128) Para mayor información puede comunicarse al por medio de llamada o WhatsApp. Link pagina web: CARACTERÍSTICAS: - Arranca y rueda. - 14,445 millas actuales. - Llave presente. - Mandos al timón. - Pantalla touch. - Cámara de retroceso. - Paquete electrico. - Transmisión automatica. - Motor 1.2 L de 3 CIL. - Rines especiales. - Full extras. PRECIO: $7,950.00 FUERA DE ADUANA PARA MAYOR INFORMACIÓN COMUNICARSE AL TELÉFONO O WHATSAPP: / . #sedan #importaciondevehiculos #carros #ventadevehiculos #venta #importacion #ventacarros #Mitsubishi #mitsubishimirage #MitsubishiMirageG4 #mitsubishimirageg4 #mitsubishimirageg4se #mirageg4se #MirageG4 #mirageg4 #Mirage #mirage"
Nissan Sentra,2016,83000,Gasolina,8000,"Financiamiento: no Precio negociable: si Color : Rojo DESCRIPCIÓN CALIFICACIONES SEGURIDAD •Todas las bolsas buenas. •Estado de la pintura 9.5/10 (detallitos de carro usado). •Motor 1.8L 4 cilindros. •Suspensión en buen estado (ninguno reventado). •Llantas delanteras en buen estado y llantas traseras necesitara próximamente cambio. •Pastillas de freno 80% vida útil. •Mantenimiento al día. •Luces LED blancas y amarillas, alógenos. •Tapicería negra. •Millage: 83,000 aprox. •NINGÚN CHECK ENCENDIDO (Puede revisarlo en scanner) •Llanta de repuesto y accesorios •Tapicería 9.5/10. •Asegurado en Asesuisa (Comparto valor en mensaje) •Mandos al timón de pantalla en tablero y radio. •Aire helado al 100%. •3 modos de manejo, ECO, NORMAL Y SPORT. •Rines de aleación de 17 pulgadas. •Asientos con calefacción. •Esta como se muestra en las fotos. •Muestro en SS y Santa tecla Pregunten sin compromiso. Paso pendiente del celular. UNICAMENTE VENDO!!"
Chevrolet Sonic,2015,58,Gasolina,520,Precio negociable: si Color : Gris DESCRIPCIÓN ARTÍCULOS CALIFICACIONES SEGURIDAD Chevrolet 1.8 con todas sus extras
Hyundai Accent,2007,155000,Gasolina,4600,"Precio negociable: si Color : Gris rata DESCRIPCIÓN CALIFICACIONES SEGURIDAD Accent 2007 sedan , aire acondicionado, 4 puertas, motor y caja sin detalles . Detalles de pintura y motor con poliza 1 compra venta a mi nombre Precio poco negociable. , contactarse al al whatsapp o llamadas"
Hyundai Elantra,2015,150355,Gasolina,7975,"Color : ROJO DESCRIPCIÓN CALIFICACIONES SEGURIDAD Hyundai ELANTRA 2015, muy espacioso y confortable, amplio baúl, Automático y Secuencial, Motor 1.8, Sistema ECO drive, 150,355 Millas, con modos de manejo Normal, Confort y Sport. Vidrios eléctricos, asiento ajustable, sin códigos activo, pantalla táctil con Bluetooth, amplia cámara de retroceso, mandos al timón, rines originales de fábrica, aire acondicionado funcionando 100%, pintura en muy buenas condiciones, mantenimiento al día, Precio $7975 negociables. Se muestra en Antiguo Cuscatlán. Tel: ."
Hyundai Accent,2014,133600,Gasolina,7300,"Precio negociable: si Color : Cafe DESCRIPCIÓN CALIFICACIONES SEGURIDAD Vendo mi Hyundai accent GLS versión de lujo con sus mandos al timón estilo elegante en su interior, silvines led, rines especiales de fábrica. Cámara de retroceso Precio fijo $7300 130,000 millas Mantenimiento al día Puede escribir y hacemos negocio"
Mitsubishi Mirage G4,2018,60000,Gasolina,8400,"Color : Blanco Se vende Mitsubishi G4 2018. Automático A/C. Bolsas buenas, cero código. Color blanco. Motor 1.2 Super económico. Cámara de retroceso, paquete eléctrico En perfectas condiciones. Precio $8,400"
