model,year,kilometers,engine,price,description
Toyota Corolla,2020,66595,Gasolina,12300,"Garantía: Como es visto no hay garantía Financiamiento: no Precio negociable: si Color : ROJO ¡VEHÍCULO EN CAMINO! TOYOTA COROLLA LE 2020 PRECIO: $12,300.00 (01–4391). Para mayor información puede comunicarse al por medio de llamada o WhatsApp. Enlace pagina web: CARACTERÍSTICAS: - Arranca y rueda. - Llave presente. - Bolsas buenas. - 66,595 millas actuales. - Mandos al timón. - Conexion bluetooth . - Paquete electrico. - Pantalla touch. - Cámara de retroceso. - Transmisión automática. - Motor 1.8 L de 4 cilindros. PRECIO: $12,300.00 FUERA DE ADUANA. PARA MAYOR INFORMACIÓN COMUNICARSE AL TELÉFONO O WHATSAPP: / . #sedan #importaciondevehiculos #carros #ventadevehiculos #venta #importacion #ventacarros #TOYOTA #toyota #toyotacorolla #toyotacorolla2020 #ToyotaCorollaLe #toyotacorollale #CorollaLE #corollale #corolla"
Hyundai Accent,2020,36000,Gasolina,11800,"Color : Azul Accent 2020 Transmision Manual Excelente opcion muy eficiente en el consumo de combustible por su motor 1.6, apto para trabajo y uso personal. Tiene 36000 millas, consultas en el whatsapp . Precio $11800 Tiene todas las Bolsas buenas, Pantalla tactil con radio Bluetooth, mandos al timon, camara de reversa, aire acondicionado,sistema electrico, motor y caja intactos."
Toyota Corolla,2020,72195,Gasolina,12700,"Garantía: Como es visto no hay garantía Financiamiento: no Precio negociable: si Color : NEGRO ¡VEHÍCULO EN CAMINO! TOYOTA COROLLA LE 2020 PRECIO: $12,700.00 (01–1325). Para mayor información puede comunicarse al por medio de llamada o WhatsApp. Enlace pagina web: CARACTERÍSTICAS: - Arranca y rueda. - Llave presente. - Bolsas buenas. - 72,195 millas actuales. - Mandos al timón. - Conexion bluetooth . - Paquete electrico. - Pantalla touch. - Cámara de retroceso. - Transmisión automática. - Motor 1.8 L de 4 cilindros. PRECIO: $12,700.00 FUERA DE ADUANA. PARA MAYOR INFORMACIÓN COMUNICARSE AL TELÉFONO O WHATSAPP: / . #sedan #importaciondevehiculos #carros #ventadevehiculos #venta #importacion #ventacarros #TOYOTA #toyota #toyotacorolla #toyotacorolla2020 #ToyotaCorollaLe #toyotacorollale #CorollaLE #corollale #corolla"
Toyota Corolla,2020,63318,Gasolina,11950,"Garantía: Como es visto no hay garantía Financiamiento: no Precio negociable: si Color : AZUL ¡VEHÍCULO EN CAMINO! TOYOTA COROLLA LE 2020 PRECIO: $11,950.00 (01–7846). Para mayor información puede comunicarse al por medio de llamada o WhatsApp. Enlace pagina web: CARACTERÍSTICAS: Arranca. Llave presente. Bolsas buenas. 63,318 millas actuales. Mandos al timón. Conexion bluetooth . Paquete electrico. Pantalla touch. Cámara de retroceso. Transmisión automática. Motor 1.8 L de 4 cilindros. PRECIO: $11,950.00 FUERA DE ADUANA. PARA MAYOR INFORMACIÓN COMUNICARSE AL TELÉFONO O WHATSAPP: / . #sedan #importaciondevehiculos #carros #ventadevehiculos #venta #importacion #ventacarros #TOYOTA #toyota #toyotacorolla #toyotacorolla2020 #ToyotaCorollaLe #toyotacorollale #CorollaLE #corollale #corolla"
Mazda 3,2010,89600,Gasolina,5000,"Color : azul Se vende: carro Mazda 3, año 2010, sedan automatico de 4 puertas, gasolina 4 cilindros, 89,600 millas, recien revisado, precio poco negociable $5,000.00"
Mitsubishi Lancer,2015,85000,Gasolina,6750,"Precio negociable: si Color : Gris Se vende Mitsubishi lancer 2015 Vías en los espejos Transmisión Automática Cvt sin ningún tipo de falla Bolsas frontales buenas Frente Limpio Mandos al timón, radio con bluetooth Llantas en excelente condición Piloto de derrape encendido porque se cambio cincha de pito solo es de ajustar Mecánicamente en buen estado Motor 2.0 4B11 con modo eco Batería seminueva Cambios de aceite al día Aire al 100 traspaso directo 85 Mil Millas Solo de subirse Negociable se muestra donde el cliente pida Detalles de pintura como se ve en las fotos por eso es negociable el precio solo gente interesada y no perdidas de tiempo Solo venta se aceptan ofertas razonables"
Toyota Yaris,2014,171000,Gasolina,12500,"DESCRIPCIÓN CALIFICACIONES SEGURIDAD Vendo Toyota Yaris Sedan 2014 de Agencia ¡Como Nuevo! -Motor 1.3 VVT-I -4 Puertas -Transmisión Manual 5 Velocidades -Un único dueño -Nunca chocado -A/C funcionando al 100% -A toda prueba mecánica -Alarma con cierre central y botón antirrobo -CD Player de Fábrica Marca Toyota con Auxiliar, Puerto USB y Bluetooth -Mandos al Timón -LLanta de Repuesto como nueva -Luces LED, Halógenos -Precio $12,500 negociables"
Toyota iA,2017,61195,Gasolina,7900,Garantía: Como es visto no hay garantía Financiamiento: no Color : BLANCO TOYOTA IA AÑO 2017 ARRANCA Y CAMINA MOTOR 1.5 61195 MILLAS INCLUYE IMPUESTOS BOLSAS BUENAS TODAS
Mitsubishi Mirage G4,2017,86000,Gasolina,7900,"Garantía: 30 días, garantía limitada en 1000 km. Ver los detalles de envio del distribuidor. Financiamiento: no Precio negociable: no Color : Negro perlado Mitsubishi Mirage G4 2017 Todas las bolsas buenas 86,000 millas Automático Motor 1.2 excelente en economía Pantalla touch Mantenimientos realizados recientemente Llévatelo por $7,900 Puedes encontrar más baratos pero no mejores Te incluimos por tu compra -Un mes de garantía -Crédito fiscal o consumidor final por la venta total -Tanque lleno por tu compra"
Honda Civic,2020,60000,Gasolina,18900,"Garantía: 30 días, garantía limitada en 1000 km. Ver los detalles de envio del distribuidor. Financiamiento: no Precio negociable: si Color : Gris 60,000 km Motor 1.5 Turbo Nunca chocado Sunroof Pantalla touch, cámara de retroceso y cámara lateral Incluye forros originales de fábrica y manuales Mandos al timón Mantenimientos realizados recientemente Precio: $18,900 Negociable"
