model,year,kilometers,engine,price,description
Nissan Versa,2017,78000,Gasolina,7100,"Color : Azul DESCRIPCIÓN CALIFICACIONES SEGURIDAD NISSAN VERSA 2017 1.6 AUTOMATICO, YA CON PLACAS. 78,000 MILLAS EN OPTIMAS CONDICIONES, CERO CODIGOS ENCENDIDOS, BOLSAS FRONTALES BUENAS. TRATO DIRECTO, VIDRIOS Y ESPEJOS ELECTRICOS, AIRE ACONDICIONADO FUNCIONANDO AL 100% YA POLARIZADO SOLO DE SUBIRSE, PRECIO NEGOCIABLE."
Kia Forte,2016,34000,Gasolina,8500,Financiamiento: si DESCRIPCIÓN CALIFICACIONES SEGURIDAD FORTE 2016. solo 34mil millas arranca y camina muy poco golpe. entra a aduana a finales de abril . estara reparado a mediados de mayo. prima 1500. solo para entusiastas y emprendedores que ademas de su trabajo formal se dedican a uber/idriver . DEJA DE ALQUILAR POR LA MISMA CUOTA DE ALQUILER EL CARRO PUEDE SER TUYO EN 3 A 4 AÑOS DEPENDIENDO EL VEHICULO. o cash 8300 fijos
Toyota Corolla,2018,39000,Gasolina,11500,"Precio negociable: si Color : Negro perlado COROLLA 2018, con tan solo 39mil millas comprobables, EN MUY BUENAS CONDICIONES , tapiceria nitida, no chek,caja y motor a toda prueba, muchas extras , full electrico, mandos al timon , frente 2019 con halogenos led, pantalla , camara, cola de pato, aire a/c al 100% , TRATO DIRECTO CON IMPORTADOR , NEGOCIABLES . NO INTERMEDIARIOS . NO SE COMPLIQUE CALIDAD DE CARRO CON BAJO MILLAJE. se muestra en san salvador en . despenza don juan las terrazas, metrocentro, o taller ubicado por mercado san miguelito. . $$$ VEHALO ES NEGOCIABLE ."
Mitsubishi Mirage G4,2018,60000,Gasolina,8500,"Color : Blanco Se vende Mitsubishi G4 2018. Automático A/C. Bolsas buenas, cero código. Color blanco. Motor 1.2 Super económico. Cámara de retroceso, paquete eléctrico En perfectas condiciones. Precio $8,500"
Nissan Versa,2010,78678,Gasolina,4900,"Precio negociable: si Color : Blanco DESCRIPCIÓN CALIFICACIONES SEGURIDAD Vehículo en perfecto estado. *año 2010, sedan. motor 1.8 , *super económico *Mecánicamente en perfectas condiciones, *78,678 millas recorridas *interesados: WhatsApp: $4900 NEGOCIABLES"
Honda Civic,2010,208355,Gasolina,6600,Color : Negro DESCRIPCIÓN CALIFICACIONES SEGURIDAD
Toyota Yaris,2007,154000,Gasolina,7800,"Financiamiento: no Precio negociable: si Color : Azul DESCRIPCIÓN CALIFICACIONES SEGURIDAD Toyota Yaris 2007 (Agencia Full Extra) Motor 1NZ - 1.3 CC Estándar Paquete Eléctrico Vidrios y espejos Aire acondicionado helando perfectamente Tapicería en perfecto estado Suspensión en buen estado Pintura en perfecto estado Llantas nuevas las 4 - Toyo Tires Rines especiales Toyota los 5 Recorrido 154,000 km reales Sistema ABS Ningún check encendido Bolsa de aire Buenas Entregó sus manuales originales , únicos dueños desde la agencia A TODA PRUEBA Tarjeta a mi nombre Precio $7800 poco negociables Se muestra solamente en Sonsonate , CON CITA PREVIA ,más información"
Nissan Sentra,2017,70000,Gasolina,8300,"Precio negociable: si Color : Rojo cereza DESCRIPCIÓN CALIFICACIONES SEGURIDAD Full extras Todas sus bolsas buenas Modos de manejo Eco, sport y normal Rines especiales Llave de proximidad y botón de encendido Pantalla y cámara de retroceso Halógenas Vias en los espejos Espejos y vidrios eléctricos Precio negociable"
Mitsubishi Lancer,2017,68000,Gasolina,8500,"Color : Azul Vendo Mitsubishi Lancer 2017 Full Extras. Color azul. Cámara de retroceso, automático. Con rines. En perfectas condiciones. Cero código. A toda prueba. Precio $8,500"
Nissan Versa,2016,50000,Gasolina,8500,"DESCRIPCIÓN CALIFICACIONES SEGURIDAD Vendo Nissan Versa año 2016, todo funcionado al 100%, ya con placas, sin intermediarios, precio poco negociable, todas la bolsas de aire funcionales"
