model,year,kilometers,engine,price,description
otros + Datsun 120 Y 1979,1979,0,Gasolina,3900,"Precio negociable: si Color : Verde A los amantes de lo clasico. carro Datsun 120 Y 1979 motor. no gasta agua ni aceite,no calienta, motor cequito.carro recien pintado, excelente tapicería, radiador nuevo, batería nueva.manual de 4 velocidades .super económico. solo personas serias que les guste lo clásico y exclusivo $3,900 negociable contactar sr. Manuel por whatsapp. se muestra en quezaltepeque."
Toyota Corolla,2018,65500,Gasolina,12400,"Garantía: Como es visto no hay garantía Financiamiento: no Precio negociable: si Color : Negro Toyota Corolla 2018 LE Motor 1.8, normal drive y eco drive, automatico, mecanicamente al 100, a/c al 100%, rines toyota originales 17"" llantas nuevas, mantenimiento al dia. Pantalla tactil con camara de reversa, mandos al timon, bluetooth, usb, aux. Polarizado. De uso familiar, espacioso y comodo. Interesados favor dejar mensaje en whatsapp al , se muestra despues de las 4 pm en centro comercial la campana, por horario de trabajo con cita previa. Domingo y Lunes se muestra a cualquier hora. -Negociable o mejor oferta-"
Kia SOUL,2018,45000,Gasolina,10500,"Color : Blanco Bolsas Buenas (todas) A/C En excelente estado Vidrios y espejos eléctricos Motor 1.6 a toda prueba Suspension y dirección nitida Manejo Eco-Normal-Sport Frenos de disco delanteros y traseros Cruise Control funcionando Tablero Bitono (2 colores) Mandos al timón funcionando Sensacion de manejo como nuevo Millaje bajo real 45,XXX Elegante y discreto Techo interior color Negro Poco Negociable Cel."
Kia Rio,2014,67000,Gasolina,6700,"Financiamiento: no Precio negociable: si Color : Negro DESCRIPCIÓN CALIFICACIONES SEGURIDAD Vehículo en muy buen estado 67,000 millas, marca Kia, modelo Río, año 2014, color negro, automático, mandos al timón, vidrios eléctricos, motor 1.6 súper económico, además sistema eco, dos modos de manejo automático y secuencial. Mantenimiento reciente, buenas llantas y rines, pintura en buen estado. Tapicería casi nítida. Único dueño en el país. Precio poco negociable, te llevas vehículo bien cuidado y bajo millaje"
Nissan Sentra,2018,146500,Gasolina,8100,"Color : Gris Bonito Nissan Sentra SV 2018, sistema ECO, Rines Especiales, botón de encendido con llave de proximidad, puertas delanteras con botón de proximidad, AC helando al 100, tapicería nítida, pintura nítida."
Honda Civic,2003,300,Gasolina,5300,"Precio negociable: si Color : Negro DESCRIPCIÓN CALIFICACIONES SEGURIDAD Motor D17A1- 2005. Nuevo poco kilometraje. Sin averías mecánicas Audio Sony. Radio, entrada auxiliar. CD Forros asientos seminuevos. Todos los papeles en regla. Negociable. *Precio incluye papeles para traspaso"
Ford Focus,2007,200000,Gasolina,3200,"Garantía: Como es visto no hay garantía Color : Gris Plata DESCRIPCIÓN CALIFICACIONES SEGURIDAD Ford Focus 2007 sedan 4 puertas automatico. En buen estado, bien cuidado."
Nissan Sentra,2011,184303,Gasolina,5200,"Color : Negro DESCRIPCIÓN CALIFICACIONES SEGURIDAD ¡Hola a todos! Tengo una excelente oferta que no querrás dejar pasar. Estoy vendiendo mi Nissan Sentra 2011, que viene cargado de accesorios y con un sistema de aire acondicionado al 100%. Aquí tienes los detalles clave: Modelo: Nissan Sentra 2011 Aire Acondicionado: Funciona al 100% Bolsas de Aire: Equipado con bolsas de aire para tu seguridad Precio: ¡Una ganga que no querrás dejar pasar! Mantenimiento: Siempre ha recibido mantenimiento regular y se encuentra en excelente estado mecánico. Consulta ya sea por imbox o al whasap"
Toyota Corolla,1999,156,Gasolina,4600,Financiamiento: no Precio negociable: si Color : Negro DESCRIPCIÓN CALIFICACIONES SEGURIDAD Se vende corolla 1999 a/c al 100% manual.. ojo no es automatico. Negociable.. a Toda prueva.. kilometraje funcionando y real.. no tiene fallas..
Hyundai Accent,2003,226691,Gasolina,3700,Precio negociable: no Color : Gris DESCRIPCIÓN CALIFICACIONES SEGURIDAD Huydai accent 2003 automático no negociable
Kia Picanto,2023,20280,Gasolina,13000,Color : GRIS OSCURO SUPER ECONOMICO 70KM/GALON MANTENIMIENTO AL DIA CON AGENCIA VEHICULO COMO NUEVO !!!! PARA MAYOR INFORMACION LLAMA O ESCRIBE
Honda Civic,2019,46771,Gasolina,13950,"Garantía: Como es visto no hay garantía Financiamiento: no Precio negociable: si Color : NEGRO ¡VEHÍCULO EN CAMINO! HONDA CIVIC SI 2019 TURBO PRECIO: $13,950.00 (01-0915). Para mayor información puede comunicarse al por medio de llamada o WhatsApp. Link pagina web: CARACTERÍSTICAS: - Arranca y rueda. - 46,771 millas actuales. - Bolsas frontales buenas. - Botón de encendido. - Llave de aproximación. - Sunroof. - Pantalla Touch. - Android Auto. - Apple Carplay. - Cámara de retroceso. - Cámara en retrovisor derecho. - Freno de parqueo electrico de botón. - Asientos de butaca SI. - Transmisión manual. - Motor 1.5 L de 4 cilindros TURBO. - Rines Especiales SI. - Mandos al timón. - Conexión bluetooth. - Halógenos. - Cola de pato trasera SI. - Full extras. PRECIO: $13,950.00 FUERA DE ADUANA. PARA MAYOR INFORMACIÓN COMUNICARSE AL TELÉFONO O WHATSAPP: / . #sedan #importaciondevehiculos #carros #ventadevehiculos #venta #importacion #ventacarros #honda #hondalove #hondacity #hondacivic #hondacivicsi #HondaCivicTypeR #hondacivicturbo #hondacivicsiturbo #civicsiturbo #civicsi #civicsiclub #cvc #civic"
Nissan Versa,2015,60500,Gasolina,6500,"Precio negociable: si DESCRIPCIÓN CALIFICACIONES SEGURIDAD Nissan Versa 2015 en excelente condiciones, mantenimientos al día y con poco kilómetros"
Honda Civic,2019,84000,Gasolina,11000,"Garantía: Como es visto no hay garantía Financiamiento: no Precio negociable: si Color : Negro HONDA CIVIC SPORT 2019 Whatsapp o Llamadas al Color Negro Sistema de enfriamiento funcional A/C helando al 100 84 mil millas Motor 2.0 Full Extras Rines Especiales #18 Cola de Pato Llave de aproximacion Encendido de boton Asiento de Tela/Cuero Paleta de cambios al timon Camara/ Pantalla Ya en Aduana Poca Inversion Recien Ingresado 11,000 Precio GASTOS Y TRÁMITES ADUANALES YA PAGADOS. Ubicados en Trans-Auto Nejapa Vehiculo a Reparar Negocio Directo sin Intermediarios Lunes a Viernes 9am -- 5pm Sábados 8am -- 12md Más información al"
Nissan Sentra,2017,92,Gasolina,9250,"Color : Negro DESCRIPCIÓN CALIFICACIONES SEGURIDAD :::: Vendo Nissan Sentra SR 2017:::: 90K millas reales Caja y motor nítidos Cambios de aceite caja y motor certificado recién hechos Suspensión y dirección nítidos Trae su manual de usuario original Traía golpe súper leve (Se muestran fotos al interesad@ de cómo entró al país) No se repararon piezas, todo se puso nuevo Llave de proximidad Encendido de botón Motor 1.8 Modo Eco, regular y sport Super económico Muy cómodo y espacioso Mandos al timon Pantalla de buen tamaño en el tablero digital Pantalla de entretenimiento digital Cámara de retroceso Conexión Bluetooth y asistente especial para IOS Puertos usb y auxiliares Rines especiales originales Ya solo esperando placas Traspaso directo Se muestra en lugares públicos de San Miguel y municipios aledaños principalmente: Quelepa, Chinameca, Jucuapa, El Triunfo, etc. previo acuerdo Se podría aceptar unidad a cuenta con modelos y años específicos. WhatsApp: Ver menos"
Toyota 1000,1984,48,Gasolina,3600,Precio negociable: si Color : Negro Toyota Corolla 4k dos puertas tipo camioneta
