model,year,kilometers,engine,price,description
Kia SOUL,2015,86000,Gasolina,8800,"Garantía: Como es visto no hay garantía Financiamiento: no Precio negociable: si Color : cafe DESCRIPCIÓN CALIFICACIONES SEGURIDAD Kia Soul 2015 motor 1.6 super economica, salio conduciendose de la aduana, tapiceria nitida, motor al 100%, rines originales, es el mismo carro que usa el papa, espaciosa, halogenos, aire super frio, 86 ,000 kms precio $8,800 negociables, la muestro en la puma de plaza merliot, interesados llamar al"
Honda Civic,2015,61700,Gasolina,11700,"Precio negociable: si Color : Gris DESCRIPCIÓN CALIFICACIONES SEGURIDAD Vendo Honda Civic 2015 LX, con su mantenimiento al día SOLO en AGENCIA, motor 1.8L, nunca chocado. PRECIO NEGOCIABLE. Hasta 143 HP, frenos ABS, motor con tecnología i-vtec eficiente en ahorro de combustible. Auto en general en optimo estado. Llama o escríbe al y con gusto te doy más información."
Honda Civic,2016,109500,Gasolina,13850,"Color : Gris DESCRIPCIÓN CALIFICACIONES SEGURIDAD Honda Civic LX de Agencia, un solo dueño, NUNCA chocado, polarizado, mantenimiento al día. 109,100 KILOMETROS"
Nissan Sentra,2020,32000,Gasolina,13200,"Financiamiento: si Precio negociable: si Vendo Nissan Sentra 2020 SV, Motor 2.0 de 4 Cilindros, Transmisión Automática, Bolsas Buenas, Motor y Caja a Todo Tipo de Prueba, Suspensión y Dirección al 100%, Pantalla Táctil de 8 Pulgadas con Camara de Retroceso, Pintura en Perfecto Estado, Tapiciera en Excelentes Condiciones, Cero Códigos, Mantenimiento al Día, Encedido de Botón, Llave de Aproximidad, Cierre Central, Rines Especiales Bien Enllantado, Mandos al Timón, Calefacción en Asientos Delanteros , A/C Funcionando Nítido. Precio Negociable, NO CAMBIOS. Traspaso Directo"
Toyota Matrix,2009,194,Gasolina,6700,Color : Rojo Todo en regla.aire . pantalla camara retroceso cero fugas no gasta agua no gasta aceite detalles de pintura
Hyundai Elantra,2001,0,Gasolina,3800,Precio negociable: si Color : Verde DESCRIPCIÓN CALIFICACIONES SEGURIDAD Vendo vehiculo hyundai elantra 2001 Aire acondicionado al 100 Detalles minimos de pintura Se muestra solo fin de semana en gasolinera puma garita y uno 5 de noviembre Porfavor solo personas interesadas.
Nissan Sentra,2015,93000,Gasolina,6800,"DESCRIPCIÓN CALIFICACIONES SEGURIDAD ¡Vendo, vendo vendo! precioso Sentra sin problemas de nada. Tiene todos los extras, igual doy todos los detalles y la información por teléfono , marqueme el precio ya está bajo pero si hace una oferta razonable la vemos. Bendiciones."
Kia SOUL,2015,80000,Gasolina,8600,Precio negociable: si DESCRIPCIÓN CALIFICACIONES SEGURIDAD KIA SOUL 2015- Bien cuidada. -Aire acondicionado al 100% Helando. -Mantenimientos Al día - Traspaso directo -Motor y Caja en excelente estado con sus cambios y mantenimiento de aceites al día. - Recorrido y Millaje bajo comprobado. -Neumáticos 85 de 100 en buen estado. - Super económica con sistema eco . - Precio $8600 precio negociable se escuchan ofertas serias y razonables es vehículo está en condiciones perfectas comprobable. NOTA: Solo llamadas Solo vendo no cambio
Honda Civic,2010,245231,Gasolina,6200,"Precio negociable: si Color : Gris DESCRIPCIÓN CALIFICACIONES SEGURIDAD Vendo Civic 2010, con A/C, vidrios polarizados ultra cerámico con protección UV, cierre central, vidrios eléctricos, espejos electrónicos, versión full extras, reproductor de radio y cd de fábrica, con manuales originales de fábrica."
Nissan Sentra,2016,57500,Gasolina,8700,"Precio negociable: si Color : Rojo DESCRIPCIÓN CALIFICACIONES SEGURIDAD Trasmision automático Encendido de botón Lleve de proximidad 57,500 millas Conexión Bluetooth y USB Rines especiales Cierre central Halogenos Motor 1.8 Sistema ECO Aire acondicionado al 100 Asientos de cuero Precio negociable"
