model,model_id
Nissan Sentra,1
Kia Forte,2
Honda City,3
Kia Forte,4
Honda Civic,5
Toyota Corolla,6
Daihatsu Rocky,7
Mazda 3,8
Chevrolet Spark,9
Honda Civic,10
Mercedes Benz 230,11
Mitsubishi Mirage,12
Toyota Yaris,13
Ford Focus,14
Dodge DART,15
Nissan Juke,16
Hyundai Santa Fe,17
Nissan Sentra,18
Kia Rio,19
Nissan Sentra,20
Kia Rio,21
Mazda 3,22
Hyundai Elantra,23
Mazda 6,24
Honda Civic,25
Kia Rio,26
Kia Rio,27
Toyota Corolla,28
Toyota Corolla,29
Chevrolet Spark,30
Honda Civic,31
Toyota Yaris,32
Nissan Sentra,33
Toyota Matrix,34
Ford Figo,35
Chevrolet Cruze,36
Nissan Versa,37
Kia SOUL,38
Nissan Versa,39
Ford Fiesta,40
Kia Forte,41
Jaguar Type S,42
Hyundai Sonata,43
Hyundai Sonata,44
Nissan Sentra,45
Mitsubishi Mirage G4,46
Kia Rio,47
Dodge Caliber,48
Nissan bluebird sedan super sport,49
Toyota Corolla,50
Toyota iA,51
Nissan Versa,52
Kia Rio,53
Volkswagen Jetta,54
Mitsubishi Lancer,55
Nissan Sentra,56
Hyundai Elantra,57
Mitsubishi Mirage G4,58
Nissan Sentra,59
Mitsubishi Lancer,60
Kia Rio,61
Ford Focus,62
Honda Civic,63
Hyundai Accent,64
Chevrolet Spark,65
Nissan Almera,66
BMW 328,67
Mitsubishi Galant,68
Toyota Corolla,69
Volkswagen Jetta,70
BMW 328,71
Nissan Sentra,72
Mercedes Benz 200,73
Daihatsu Rocky,74
Mazda 3,75
Honda Civic,76
Mercedes Benz 230,77
Mitsubishi Mirage,78
Ford Focus,79
Dodge DART,80
Nissan Juke,81
Kia Rio,82
Nissan Sentra,83
Nissan Versa,84
Ford Fiesta,85
Kia Forte,86
Hyundai Sonata,87
Mazda 3,88
Nissan Versa,89
Kia Forte,90
Mitsubishi Lancer,91
Nissan Sentra,92
Toyota Yaris,93
Nissan Sentra,94
Toyota Corolla,95
Volkswagen Jetta,96
Nissan Sentra,97
Nissan 200SX,98
Toyota Corolla,99
Toyota Yaris,100
Chevrolet Aveo,101
Toyota Yaris,102
Mitsubishi Mirage G4,103
Toyota Corolla,104
Kia Rio,105
Scion iA,106
Volkswagen Golf,107
Mitsubishi Lancer,108
Ford Focus,109
Dodge DART,110
Kia Rio,111
Hyundai Elantra,112
BMW 320,113
Hyundai Accent,114
Mitsubishi Mirage,115
Honda Accord,116
Mitsubishi Lancer,117
Ford Focus,118
Nissan Sentra,119
Nissan Versa,120
Chevrolet Spark,121
Kia Forte,122
Mitsubishi Mirage G4,123
Nissan Sentra,124
Nissan Sentra,125
Hyundai Elantra,126
Mazda 3,127
Toyota Corolla,128
Kia Rio,129
Honda Civic,130
Kia Rio,131
Mazda 6,132
Kia Forte,133
Hyundai Sonata,134
Nissan Sentra,135
Hyundai Accent,136
Nissan Sentra,137
Kia Forte,138
Kia Forte,139
Nissan Versa,140
Toyota Corolla,141
Mitsubishi Lancer,142
Mazda 3,143
Nissan Sentra,144
Chevrolet Celta,145
Toyota Yaris,146
Nissan Sentra,147
Suzuki Aerio,148
Nissan ALTIMA,149
Mitsubishi Mirage G4,150
Nissan Sentra,151
Nissan Sentra,152
Mitsubishi Mirage G4,153
Nissan Sentra,154
Volkswagen Jetta,155
Chevrolet Aveo,156
Volkswagen Golf,157
Nissan Sentra,158
Nissan Sentra,159
Nissan Sentra,160
